NAME
Progress
BPM
144.000000
DELAY
2350
NOTE
3662,0000010
3871,0000010
6371,0001000
10329,0000010
10537,0000010
13662,0001000
14496,0010000
15329,0010000
16162,0010000
16996,0010000
17829,0010000
18662,0010000
19496,0010000
20329,0010000
20433,0000100
21162,0000100
21996,0000100
22829,0000100
23662,0000100
24496,0000100
25329,0000100
26162,0000100
26996,0000100
27100,0010000
27829,0100000
28662,0100000
29496,0100000
30329,0100000
31162,0100000
31996,0100000
32829,0100000
33662,0100000
33767,0000010
34496,0000010
35329,0000010
36162,0000010
36996,0000010
37829,0000010
38662,0000010
39496,0000010
39808,0100000
40746,0001000
44079,0001000
45746,0100000
46996,0000010
47829,0010000
48662,0010000
49496,0010000
50329,0010000
50642,0010000
51162,0010000
51996,0010000
52829,0010000
53662,0010000
53975,0010000
54496,0000100
55329,0000100
56162,0000100
56996,0000100
57308,0000100
57829,0000100
58662,0000100
59496,0000100
60329,0000100
61162,0100000
61996,0100000
62829,0100000
63662,0100000
63975,0100000
64496,0100000
65329,0100000
66162,0100000
66996,0100000
67308,0100000
67829,0000010
68662,0000010
69496,0000010
70329,0000010
70642,0000010
71162,0000010
71996,0000010
72829,0000010
73662,0001000
74079,0000100
76579,0000100
76857,0000100
77135,0010000
77412,0000100
79912,0000100
80190,0000100
80468,0010000
80746,0000100
83246,0000100
83524,0000100
83801,0010000
84079,0000100
85746,0100000
86996,0000010
87829,0100000
88662,0100000
89496,0100000
90329,0100000
91162,0000010
91996,0000010
92829,0000010
93662,0000010
94496,0010000
95329,0010000
96162,0010000
96996,0010000
97829,0000100
98662,0000100
99496,0000100
100329,0000100
100746,0100000
101162,0000100
101996,0010000
102829,0000100
103662,0010000
103975,0010000
104496,0000010
105329,0100000
106162,0000010
106996,0100000
107308,0100000
107829,0000100
108662,0010000
108975,0010000
109496,0000100
110329,0010000
110642,0010000
111162,0000010
111996,0100000
112308,0100000
112829,0000010
113662,0100000
113975,0100000
114079,0001000
119079,4444444
