FILENAME
電波送信(instrumental)
DELAY
2.3
STARTBPM
180
NOTE
@8&
S
,,,,,,,,,,,,,,,,
/再生開始&
/1&
,,,,,,56,,

/2&
0,,4,,0,,4,,
0,,4,,0,,4,,
0,,3,,0,,3,,
0,,3,,0,,3,3,
0,,2,,0,,2,,
0,,2,,0,,2,,
3,3,,2,2,,1,1,
,2,,,2,,2,2,

/10&
,,5,,,,5,,
,,6,,,,6,,
,,5,,,,6,,
,,2,,04,,,,

/14&
2,2,2,2,2,0,0,0,
4,4,3,3,2,2,0,1,
,2,2,2,2,0,0,0,
1,1,4,3,,2,1,,
,2,2,2,2,0,0,0,
3,3,2,2,3,3,4,2,
,2,2,2,2,0,0,0,
1,1,2,3,2,3,4,,

/22&
,2,,2,2,2,3,4,
4,,3,2,,1,,2,
3,,2,,3,,4,,
2,,1,0,,0,0,1,
2,2,1,0,,0,1,2,
3,3,2,1,,1,2,3,
4,4,3,2,,1,2,3,
04,,,,04,,,,
04,,,,,,56,,

/31&
0,,4,,0,,5,,
0,,3,,0,,6,,
0,,2,,0,,5,,
0,,1,,0,,1,1,
4,,0,,4,,6,,
4,,1,,4,,5,,
4,,2,,4,,6,,
4,,3,,4,,3,3,
0,,4,,0,,5,,
0,,3,,0,,6,,
0,,2,,0,,2,2,
,5,,6,,5,6,,
4,,0,,4,,5,,
4,,1,,4,,6,,
4,,2,,4,,5,,
4,,6,,1,3,1,3,
2,2,,2,2,,2,2,
,5,,6,04,,,,

/49&
2,2,5,,,6,,04,
,,2,,1,,2,,
,,3,,2,,3,,
0,,2,,4,,2,,
2,2,6,,,5,,04,
,,2,,1,,2,,
,,3,,2,,3,,
0,,2,,4,,2,2,
5,,2,,0,,2,,
6,,2,,1,,2,,
5,,2,,3,,2,,
6,,2,,4,,2,,
56,,2,,,,2,,
,,2,,,,2,2,
0,0,0,0,0,0,0,0,
4,4,4,4,13,13,,,

/65&
5,,,0,4,,,,
0,,,0,4,0,,,
0,,,0,4,,,,
0,,,0,4,0,,,
6,,,4,0,,,,
4,,,4,0,4,,,
4,,,4,0,,,,
4,,,4,0,4,,,
5,,,1,3,,,,
1,,,1,3,1,,,
1,,,1,3,,,,
1,,,1,3,1,,,
6,,,3,1,,,,
3,,,3,1,3,,,
3,,,3,1,,,,
04,,,,04,,,,
04,,,,,,56,,

/82&
0,,4,,0,0,4,,
0,,3,,0,0,3,,
0,,2,,0,0,2,,
0,,1,,0,0,1,1,
4,,0,,4,4,0,,
4,,1,,4,4,1,,
4,,2,,4,4,2,,
4,,3,,4,4,3,3,
0,,4,,0,0,4,,
0,,3,,0,0,3,,
0,,2,,0,0,2,2,
,5,,6,,5,6,,
4,,0,,4,4,0,,
4,,1,,4,4,1,,
4,,2,,4,4,2,,
4,,3,,2,2,2,2,
5,6,,5,6,,5,6,
,5,,6,5,,,,
6,5,,6,5,,6,5,
,6,5,,6,2,2,,

/102&
4,3,2,0,,0,1,4,
,3,4,3,2,1,0,2,
1,2,3,4,,2,4,1,
,0,1,3,2,3,4,,
4,3,2,0,,0,1,4,
,3,4,3,2,1,0,1,
2,2,,0,0,,3,3,
,1,1,,4,4,,2,
2,,6,6,,5,5,,@16&
0,,,1,,,2,,,3,,,4,,,,@8&
56,,,,,,,,
,,,,,,,,

/502notes&
E
