FILENAME
電波送信(instrumental)
DELAY
2.05
STARTBPM
180
NOTE
@8&
S
,,,,,,,,,,,,,,,
/再生開始&
/1&
,,,,,,56,,

/2&
,,2,,0,,2,,
,,2,,0,,2,,
,,4,,2,,4,,
,,4,,2,,4,4,
,,3,,1,,3,,
,,3,,1,,3,,
5,,,6,,,5,,
,6,,,2,,2,,

/10&
13,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,2,,,,

/14&
,,1,,,,1,,
,,1,,,,1,,
,,3,,,,3,,
,,3,,,,3,3,
,,0,,,,0,,
,,0,,,,0,,
,,4,,,,4,,
,,4,,4,,4,4,

/22&
,,0,,,,4,,
,,0,,,,4,,
,,0,,,,4,,
,,0,,,,4,4,
,,1,,,,3,,
,,1,,,,3,,
,,1,,,,3,,
2,,2,,2,,2,,
2,,,,,,56,,

/31&
,,1,,0,,1,,
,,1,,0,,1,,
,,2,,0,,2,,
,,2,,0,,2,2,
,,3,,0,,3,,
,,3,,0,,3,,
,,4,,0,,4,,
,,4,,0,4,4,4,
,,1,,0,,1,,
,,1,,0,,1,,
,,2,,0,,2,2,
,5,,6,,5,6,,
,,3,,0,,3,,
,,3,,0,,3,,
,,4,,0,,4,,
,,4,,4,4,4,,
5,,,6,,,5,,
,6,,,5,,,,

/49&
,,1,,,1,,3,
,,2,,,,2,,
,,2,,,,2,,
,,2,,,,2,,
,,0,,,0,,4,
,,2,,,,2,,
,,2,,,,2,,
,,2,,,,2,2,
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
,,,,,,,,
5,,,,,,,,
6,,,,13,13,,,

/65&
5,,,,1,,,,
,,,,1,,,,
4,,,,1,,,,
,,,,1,,,,
6,,,,3,,,,
,,,,3,,,,
0,,,,3,,,,
,,,,3,,,,
5,,,,0,,,,
4,,,,0,,,,
3,,,,0,,,,
4,,,,0,,,,
6,,,,4,,,,
0,,,,4,,,,
1,,,,4,,,,
2,,,,2,,,,
2,,,,,,56,,

/82&
,,1,,0,,1,,
,,1,,0,,1,,
,,2,,0,,2,,
,,2,,0,,2,2,
,,3,,0,,3,,
,,3,,0,,3,,
,,4,,0,,4,,
,,4,,0,4,4,4,
,,1,,0,,1,,
,,1,,0,,1,,
,,2,,0,,2,2,
,5,,6,,5,6,,
,,3,,0,,3,,
,,3,,0,,3,,
,,4,,0,,4,,
,,4,,4,4,4,,
5,,,6,,,5,,
,6,,,5,,,,
5,,,6,,,5,,
,6,,,5,,,,

/102&
,,2,,0,,2,,
,,2,,0,,2,,
,,4,,2,,4,,
,,4,,2,,4,4,
,,3,,1,,3,,
,,3,,1,,3,,
2,2,,0,0,,3,3,
,1,1,,4,4,,2,
2,,6,6,,5,5,,
,,,,,,,,
56,,,,,,,,
,,,,,,,,

/292notes&
E
